Variable,Question_Topic,Value,Category_Label,Count,Percentage,Risk_Level,Notes
BPG_MH,Prior MH treatment,1,No,9901,5.55%,Normal,
BPG_MH,Prior MH treatment,2,Yes,3873,2.17%,HIGH RISK,Route to immediate screening
BPG_MH,Prior MH treatment,NA,Missing/Skipped,164525,92.27%,N/A,
HTH_GEN,General health,1,Excellent,6387,3.58%,Protective,
HTH_GEN,General health,2,Very Good,8620,4.83%,Normal,
HTH_GEN,General health,3,Good,6585,3.69%,Normal,
HTH_GEN,General health,4,Fair,1705,0.96%,RISK AMPLIFIER,Elevate to Moderate/High Risk
HTH_GEN,General health,5,Poor,167,0.09%,RISK AMPLIFIER,Elevate to High Risk
HTH_GEN,General health,NA,Missing,154835,86.84%,N/A,
PRE_RX,Pre-pregnancy meds,1,No,40497,22.71%,Normal,
PRE_RX,Pre-pregnancy meds,2,Yes,12556,7.04%,NEEDS FOLLOW-UP,Ask if for mood/anxiety
PRE_RX,Pre-pregnancy meds,NA,Missing,125246,70.24%,N/A,
OWGT_OBS,Overweight/obese,1,No,5539,3.11%,Normal,
OWGT_OBS,Overweight/obese,2,Yes,2786,1.56%,MODEST AMPLIFIER,Combine with other symptoms
OWGT_OBS,Overweight/obese,NA,Missing,169974,95.33%,N/A,
PRE_EXER,Exercise 3+ days/wk,1,No,31671,17.76%,MODEST AMPLIFIER,No regular exercise
PRE_EXER,Exercise 3+ days/wk,2,Yes,21407,12.01%,Protective,Regular exercise
PRE_EXER,Exercise 3+ days/wk,NA,Missing,125221,70.23%,N/A,
PRE_DIET,Dieting,1,No,38303,21.48%,Normal,
PRE_DIET,Dieting,2,Yes,14817,8.31%,MODEST AMPLIFIER,Body image concerns
PRE_DIET,Dieting,NA,Missing,125179,70.21%,N/A,
BPG_TALK,HCW discussed pregnancy,1,No,38516,21.60%,Normal,
BPG_TALK,HCW discussed pregnancy,2,Yes,14952,8.39%,ROUTING INFO,Existing provider connection
BPG_TALK,HCW discussed pregnancy,NA,Missing,124831,70.01%,N/A,
FLU_SRC,Flu shot location,1,OB/Gyn office,1899,1.07%,ROUTING INFO,Route to OB/Gyn with behavioral health
FLU_SRC,Flu shot location,2,Family doctor office,756,0.42%,ROUTING INFO,Route to PCP with behavioral health
FLU_SRC,Flu shot location,3,Health dept/clinic,241,0.14%,ROUTING INFO,Route to public clinics + hotlines
FLU_SRC,Flu shot location,4,Hospital,745,0.42%,ROUTING INFO,Route to hospital behavioral health
FLU_SRC,Flu shot location,5,Pharmacy/drug store,536,0.30%,ROUTING INFO,Route to pharmacy walk-in + telehealth
FLU_SRC,Flu shot location,6,Work/school,379,0.21%,ROUTING INFO,Route to occupational health
FLU_SRC,Flu shot location,7,Other,82,0.05%,ROUTING INFO,Route to general telehealth + hotlines
FLU_SRC,Flu shot location,NA,Missing/Skipped,173661,97.40%,N/A,
PRE_DEPR,Pre-pregnancy depression check,NA,Not Available,178299,100.00%,N/A,Connecticut-only variable
